年齢,地域,趣味,職業,結婚,最終学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,最近の連絡日（日）,最近の連絡日（月）,通話時間（秒）,キャンペーン連絡回数,前回のキャンペーン連絡からの経過日数,キャンペーン前の連絡回数,前回キャンペーンの成果,新キャンペーンの成果
31.0,大阪,ボランティア,マネージャー,既婚,大学または大学院卒,なし,865.0,あり,なし,不明,19,8月,585,1,-1,0,不明,あり
42.0,兵庫,投資,マネージャー,既婚,大学または大学院卒,なし,-598.0,なし,なし,携帯電話,16,7月,430,2,-1,0,不明,あり
27.0,大阪,ボランティア,マネージャー,既婚,高卒,なし,582.0,あり,なし,携帯電話,14,4月,191,1,-1,0,不明,あり
27.0,東京,ボランティア,マネージャー,独身,大学または大学院卒,なし,3916.0,あり,なし,携帯電話,22,5月,409,1,-1,0,不明,あり
32.0,愛知,音楽,マネージャー,独身,大学または大学院卒,なし,171.0,なし,なし,不明,29,9月,-161,1,-1,0,不明,なし
53.0,宮城,スポーツ,サービス業,既婚,高卒,なし,24.0,あり,なし,不明,9,5月,14,3,-1,0,失敗,なし
35.0,愛知,写真,技術者,既婚,大学または大学院卒,なし,-12.0,あり,なし,携帯電話,28,5月,-152,2,-1,0,不明,なし
34.0,京都,写真,マネージャー,既婚,高卒,なし,833.0,なし,なし,携帯電話,8,8月,592,4,-1,0,不明,あり
49.0,京都,ギャンブル,管理者,既婚,高卒,なし,390.0,なし,なし,携帯電話,21,11月,226,2,117,0,不明,なし
24.0,大阪,ボランティア,技術者,独身,高卒,なし,602.0,あり,なし,携帯電話,15,4月,1083,2,-1,0,不明,あり
38.0,埼玉,投資,管理者,既婚,高卒,なし,783.0,なし,なし,携帯電話,16,7月,72,2,-1,0,不明,なし
54.0,北海道,投資,退職,独身,高卒,なし,199.0,あり,なし,携帯電話,31,2月,173,1,-1,0,その他,あり
52.0,愛知,投資,マネージャー,既婚,高卒,なし,304.0,なし,あり,携帯電話,27,7月,-47,3,-1,0,失敗,なし
30.0,東京,読書,マネージャー,独身,小卒または中卒,なし,6268.0,なし,なし,携帯電話,11,8月,166,5,-1,0,不明,なし
55.0,大阪,投資,退職,独身,小卒または中卒,なし,1875.0,あり,あり,不明,14,5月,1164,2,330,0,不明,あり
25.0,東京,投資,技術者,既婚,高卒,なし,2750.0,あり,なし,携帯電話,9,4月,885,1,127,0,不明,あり
49.0,京都,投資,労務職,独身,高卒,なし,639.0,あり,なし,携帯電話,13,4月,177,3,-1,0,不明,なし
34.0,京都,ボランティア,労務職,既婚,高卒,なし,2162.0,あり,なし,携帯電話,30,4月,336,1,128,0,失敗,あり
25.0,京都,料理,管理者,独身,高卒,なし,216.0,あり,なし,携帯電話,17,4月,1105,1,-1,0,失敗,あり
32.0,東京,ボランティア,マネージャー,既婚,大学または大学院卒,なし,2102.0,なし,なし,携帯電話,9,9月,635,3,-1,0,不明,あり
48.0,東京,ボランティア,労務職,既婚,大学または大学院卒,なし,2278.0,あり,なし,携帯電話,2,2月,659,1,-1,0,不明,あり
26.0,東京,写真,技術者,独身,高卒,なし,4555.0,なし,なし,携帯電話,24,7月,789,1,-1,0,不明,あり
41.0,東京,ボランティア,マネージャー,既婚,小卒または中卒,なし,4337.0,なし,なし,携帯電話,4,2月,424,6,186,0,不明,なし
41.0,埼玉,ギャンブル,マネージャー,既婚,小卒または中卒,なし,5713.0,あり,あり,携帯電話,24,3月,235,1,-1,2,不明,なし
41.0,埼玉,ボランティア,労務職,既婚,高卒,なし,3285.0,あり,なし,携帯電話,3,6月,777,1,190,0,不明,あり
46.0,大阪,音楽,マネージャー,既婚,小卒または中卒,なし,-574.0,あり,あり,携帯電話,24,7月,175,6,-1,0,不明,なし
22.0,京都,スポーツ,技術者,既婚,高卒,なし,609.0,あり,なし,携帯電話,20,8月,785,2,-1,0,不明,あり
22.0,東京,ボランティア,サービス業,独身,小卒または中卒,なし,4538.0,なし,なし,携帯電話,20,10月,372,1,-1,0,不明,あり
31.0,東京,読書,マネージャー,独身,大学または大学院卒,なし,5041.0,なし,なし,携帯電話,26,8月,30,19,-1,0,その他,あり
38.0,兵庫,投資,労務職,独身,小卒または中卒,なし,-535.0,あり,あり,携帯電話,11,5月,5,2,-1,0,不明,なし
35.0,京都,ボランティア,サービス業,独身,大学または大学院卒,なし,3337.0,なし,なし,携帯電話,25,5月,552,1,-1,0,不明,あり
29.0,北海道,写真,技術者,独身,大学または大学院卒,なし,-3.0,なし,あり,不明,19,7月,404,6,-1,0,不明,なし
36.0,兵庫,読書,技術者,独身,高卒,なし,452.0,なし,なし,携帯電話,23,10月,243,1,-1,1,不明,あり
26.0,東京,ボランティア,技術者,既婚,大学または大学院卒,なし,2507.0,なし,なし,携帯電話,8,8月,122,2,270,0,その他,なし
51.0,愛知,ボランティア,マネージャー,独身,大学または大学院卒,なし,2329.0,なし,なし,携帯電話,4,8月,123,2,-1,0,不明,なし
23.0,東京,ボランティア,労務職,既婚,高卒,なし,4280.0,なし,なし,携帯電話,20,4月,154,1,-1,0,不明,あり
39.0,東京,ボランティア,技術者,独身,大学または大学院卒,なし,3098.0,あり,なし,携帯電話,8,8月,121,2,10,2,失敗,なし
43.0,埼玉,読書,マネージャー,既婚,大学または大学院卒,なし,6528.836641678268,あり,なし,携帯電話,19,11月,93,1,-1,0,不明,なし
43.0,東京,ボランティア,技術者,既婚,小卒または中卒,なし,4976.0,あり,なし,不明,15,5月,1111,2,-1,0,不明,あり
48.0,埼玉,投資,サービス業,独身,高卒,なし,30.0,なし,なし,不明,22,6月,145,3,-1,0,失敗,あり
53.0,東京,読書,マネージャー,既婚,大学または大学院卒,なし,3647.0,あり,なし,携帯電話,12,4月,183,2,-1,0,不明,あり
62.0,京都,投資,退職,既婚,小卒または中卒,なし,1321.0,なし,なし,携帯電話,4,8月,150,2,-1,0,不明,なし
39.0,兵庫,音楽,サービス業,既婚,高卒,なし,2018.0,あり,なし,携帯電話,20,11月,212,1,-1,0,不明,なし
50.0,東京,ギャンブル,サービス業,既婚,高卒,なし,686.0,なし,あり,携帯電話,11,7月,107,2,-1,0,不明,なし
24.0,京都,ボランティア,サービス業,独身,大学または大学院卒,なし,819.0,なし,なし,携帯電話,4,8月,273,1,-1,0,不明,あり
45.0,東京,スポーツ,技術者,既婚,小卒または中卒,なし,4777.0,なし,なし,携帯電話,29,7月,215,3,278,0,不明,なし
36.0,京都,投資,技術者,既婚,大学または大学院卒,なし,483.0,なし,なし,携帯電話,11,8月,-98,4,-1,0,不明,なし
23.0,宮城,写真,技術者,独身,大学または大学院卒,なし,-109.0,なし,あり,携帯電話,31,7月,-35,2,-1,0,不明,なし
29.0,大阪,音楽,退職,独身,高卒,なし,356.0,あり,なし,携帯電話,18,10月,465,4,605,0,不明,あり
34.0,北海道,ギャンブル,技術者,独身,高卒,なし,-304.0,なし,あり,携帯電話,29,7月,156,6,-1,0,不明,なし
46.0,兵庫,料理,労務職,独身,高卒,なし,25.0,あり,なし,携帯電話,9,7月,320,1,346,0,不明,なし
46.0,埼玉,音楽,技術者,独身,高卒,なし,3928.0,あり,なし,携帯電話,4,8月,264,3,-1,0,不明,あり
38.0,北海道,読書,技術者,既婚,高卒,なし,700.0,あり,なし,不明,13,5月,-142,1,-1,0,不明,なし
30.0,京都,音楽,管理者,既婚,高卒,なし,105.0,あり,なし,携帯電話,18,11月,2015,1,-1,0,不明,あり
37.0,京都,音楽,管理者,独身,大学または大学院卒,なし,457.0,なし,なし,携帯電話,9,5月,46,1,-1,0,不明,あり
34.0,京都,写真,サービス業,既婚,大学または大学院卒,なし,18.0,なし,なし,不明,2,2月,1352,3,-1,0,その他,あり
41.0,宮城,スポーツ,労務職,既婚,大学または大学院卒,なし,616.0,あり,なし,携帯電話,7,5月,780,1,-1,0,失敗,なし
35.0,埼玉,写真,技術者,既婚,高卒,なし,2554.0,あり,なし,携帯電話,5,3月,85,1,-1,0,不明,あり
35.0,兵庫,読書,労務職,独身,高卒,なし,145.0,なし,なし,携帯電話,19,11月,87,3,-1,0,不明,なし
38.0,宮城,音楽,サービス業,既婚,大学または大学院卒,なし,353.0,なし,なし,携帯電話,28,7月,-141,13,-1,0,不明,なし
23.0,宮城,ギャンブル,サービス業,既婚,小卒または中卒,なし,1447.0,あり,あり,不明,20,5月,153,2,-1,0,不明,なし
37.0,京都,写真,管理者,既婚,高卒,なし,349.0,あり,なし,不明,20,5月,191,1,-1,0,不明,なし
26.0,愛知,読書,労務職,独身,高卒,なし,99.0,あり,なし,携帯電話,15,11月,476,1,-1,0,不明,なし
22.0,東京,ボランティア,労務職,独身,小卒または中卒,なし,4796.0,あり,なし,不明,23,5月,460,4,127,0,失敗,なし
35.0,北海道,ギャンブル,マネージャー,既婚,大学または大学院卒,なし,-12.0,なし,あり,携帯電話,20,5月,119,2,-1,0,不明,なし
30.0,北海道,ギャンブル,労務職,独身,高卒,なし,-528.0,あり,なし,携帯電話,15,5月,652,4,-1,0,その他,なし
37.0,京都,投資,マネージャー,独身,大学または大学院卒,なし,588.0,なし,なし,携帯電話,2,3月,257,5,-1,0,失敗,あり
