年齢,地域,趣味,職業,結婚,最終学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,最近の連絡日（日）,最近の連絡日（月）,通話時間（秒）,キャンペーン連絡回数,前回のキャンペーン連絡からの経過日数,キャンペーン前の連絡回数,前回キャンペーンの成果,新キャンペーンの成果
47.0,大阪,ボランティア,マネージャー,独身,高卒,なし,1415.0,あり,なし,不明,19,8月,113.0,1,-1,0,不明,なし
30.0,兵庫,投資,マネージャー,既婚,大学または大学院卒,なし,180.0,なし,なし,携帯電話,16,7月,82.0,2,-1,0,その他,あり
37.0,大阪,ボランティア,マネージャー,独身,小卒または中卒,なし,-225.0,なし,なし,携帯電話,5,8月,86.0,1,-1,0,不明,あり
27.0,東京,ボランティア,サービス業,独身,大学または大学院卒,なし,2921.0,あり,なし,携帯電話,22,5月,24.0,1,-1,0,不明,あり
24.0,愛知,音楽,マネージャー,既婚,大学または大学院卒,なし,722.0,なし,なし,不明,29,9月,72.0,1,-1,0,不明,なし
52.0,宮城,スポーツ,労務職,独身,高卒,なし,-550.0,あり,なし,不明,9,5月,73.0,3,-1,0,不明,あり
22.0,愛知,写真,技術者,既婚,高卒,なし,-438.0,あり,なし,携帯電話,11,5月,92.0,2,-1,0,不明,なし
42.0,京都,写真,マネージャー,既婚,大学または大学院卒,なし,1179.0,なし,なし,携帯電話,8,8月,17.0,4,-1,0,不明,あり
38.0,京都,ギャンブル,管理者,独身,高卒,なし,596.0,なし,なし,携帯電話,21,11月,35.0,2,-1,0,不明,なし
20.0,大阪,ボランティア,技術者,既婚,高卒,なし,944.0,あり,なし,携帯電話,15,4月,110.0,2,-1,0,不明,あり
23.0,愛知,投資,管理者,既婚,高卒,なし,-457.0,なし,なし,携帯電話,16,7月,59.0,2,-1,0,不明,なし
59.0,北海道,投資,退職,独身,高卒,なし,-253.0,あり,なし,携帯電話,5,2月,124.0,1,-1,0,不明,なし
65.0,愛知,投資,マネージャー,既婚,大学または大学院卒,なし,-83.0,なし,あり,携帯電話,27,7月,66.0,3,-1,0,不明,あり
32.0,東京,読書,マネージャー,独身,大学または大学院卒,なし,6579.0,なし,なし,携帯電話,11,8月,86.0,5,-1,0,不明,あり
87.0,大阪,ギャンブル,退職,既婚,高卒,なし,1066.0,あり,あり,不明,30,5月,44.0,2,-1,0,成功,あり
55.0,東京,投資,技術者,独身,大学または大学院卒,なし,3846.0,あり,なし,携帯電話,9,4月,40.0,1,-1,0,不明,あり
77.0,京都,投資,労務職,既婚,大学または大学院卒,なし,-1063.0,あり,なし,携帯電話,13,4月,62.0,3,-1,0,不明,あり
85.0,京都,ボランティア,労務職,既婚,大学または大学院卒,なし,1440.0,あり,なし,携帯電話,20,4月,66.0,1,-1,0,不明,あり
21.0,京都,料理,管理者,既婚,大学または大学院卒,なし,-414.0,あり,なし,携帯電話,17,4月,23.0,1,23,0,不明,あり
27.0,東京,ボランティア,マネージャー,既婚,大学または大学院卒,なし,3737.0,なし,なし,携帯電話,9,9月,96.0,3,379,0,不明,あり
33.0,東京,ボランティア,労務職,独身,大学または大学院卒,なし,1745.0,なし,なし,携帯電話,9,2月,66.0,1,-1,0,不明,あり
26.0,東京,写真,技術者,既婚,高卒,なし,4741.0,なし,なし,携帯電話,24,7月,101.0,1,-1,0,不明,あり
41.0,東京,ボランティア,マネージャー,既婚,大学または大学院卒,なし,4017.0,なし,なし,携帯電話,4,2月,20.0,6,-1,0,失敗,なし
85.0,埼玉,ギャンブル,マネージャー,既婚,小卒または中卒,なし,5176.0,あり,あり,携帯電話,29,7月,86.0,1,-1,0,不明,なし
49.0,埼玉,ボランティア,労務職,既婚,高卒,なし,2403.0,なし,なし,携帯電話,3,6月,110.0,1,-1,0,不明,あり
54.0,大阪,読書,技術者,独身,大学または大学院卒,なし,768.0,あり,あり,携帯電話,14,7月,11.0,6,-1,0,不明,なし
40.0,京都,スポーツ,技術者,独身,高卒,なし,143.0,なし,なし,携帯電話,20,8月,81.0,2,71,0,不明,あり
20.0,兵庫,ボランティア,技術者,既婚,高卒,なし,3567.0,なし,なし,携帯電話,20,10月,104.0,1,-1,0,失敗,あり
50.0,東京,読書,マネージャー,独身,小卒または中卒,なし,5503.0,なし,なし,携帯電話,26,8月,38.0,19,-1,0,不明,なし
31.0,東京,ボランティア,労務職,既婚,小卒または中卒,なし,-541.0,あり,あり,携帯電話,11,5月,19.0,2,-1,0,その他,なし
26.0,東京,ボランティア,労務職,独身,大学または大学院卒,なし,3374.0,なし,なし,携帯電話,25,5月,64.0,1,-1,0,不明,なし
22.0,北海道,写真,技術者,既婚,高卒,なし,289.0,なし,あり,不明,4,7月,113.0,6,-1,0,不明,なし
48.0,兵庫,読書,技術者,独身,高卒,なし,153.0,なし,なし,携帯電話,23,10月,70.0,1,-1,0,その他,あり
38.0,東京,ボランティア,技術者,独身,大学または大学院卒,なし,2600.0,なし,なし,携帯電話,8,8月,72.0,2,-1,0,不明,なし
55.0,愛知,ボランティア,マネージャー,既婚,大学または大学院卒,なし,1606.0,なし,なし,携帯電話,4,8月,92.0,2,-1,0,不明,なし
46.0,東京,ボランティア,労務職,既婚,高卒,なし,3499.0,なし,なし,携帯電話,20,4月,28.0,1,-1,0,不明,あり
30.0,東京,ボランティア,技術者,独身,高卒,なし,2673.0,あり,なし,携帯電話,8,8月,16.0,2,283,0,その他,なし
67.0,埼玉,読書,マネージャー,独身,大学または大学院卒,なし,6114.0,なし,なし,携帯電話,19,11月,115.0,1,-1,0,不明,なし
41.0,東京,ボランティア,技術者,既婚,大学または大学院卒,なし,3948.0,あり,なし,不明,15,5月,99.0,2,483,0,不明,あり
68.0,埼玉,投資,マネージャー,既婚,大学または大学院卒,なし,-271.0,なし,なし,不明,9,7月,81.0,3,-1,0,不明,なし
53.0,東京,読書,マネージャー,既婚,大学または大学院卒,なし,5006.0,あり,なし,携帯電話,5,4月,106.0,2,-1,0,不明,あり
61.0,京都,投資,退職,既婚,高卒,なし,725.0,なし,なし,携帯電話,11,8月,124.0,2,38,0,不明,なし
28.0,兵庫,音楽,管理者,既婚,大学または大学院卒,なし,2006.0,なし,なし,携帯電話,20,11月,46.0,1,16,0,不明,なし
77.0,東京,読書,サービス業,既婚,高卒,なし,-142.0,なし,あり,携帯電話,11,10月,16.0,2,320,2,不明,なし
37.0,京都,ボランティア,サービス業,独身,大学または大学院卒,なし,1087.0,なし,なし,携帯電話,4,8月,109.0,1,-1,0,不明,あり
68.0,東京,スポーツ,技術者,既婚,大学または大学院卒,なし,4213.0,なし,なし,携帯電話,29,7月,111.0,3,-1,0,不明,なし
67.0,京都,投資,技術者,既婚,大学または大学院卒,なし,200.0,なし,なし,携帯電話,11,8月,15.0,4,-1,0,不明,なし
27.0,宮城,写真,技術者,既婚,大学または大学院卒,なし,-748.0,あり,あり,携帯電話,30,7月,46.0,2,-1,0,不明,なし
32.0,大阪,ギャンブル,退職,独身,高卒,なし,-222.0,なし,なし,携帯電話,18,5月,46.0,4,328,0,不明,あり
30.0,北海道,ギャンブル,技術者,既婚,小卒または中卒,なし,357.0,なし,あり,携帯電話,26,7月,52.0,6,-1,0,不明,なし
77.0,宮城,料理,退職,既婚,高卒,なし,-909.0,あり,なし,携帯電話,9,7月,30.0,1,9,0,不明,なし
24.0,埼玉,音楽,技術者,独身,大学または大学院卒,なし,3465.0,あり,なし,携帯電話,27,8月,47.0,3,-1,0,不明,あり
27.0,北海道,読書,技術者,既婚,高卒,なし,649.0,なし,なし,不明,5,5月,36.0,1,-1,0,不明,なし
21.0,宮城,音楽,管理者,独身,高卒,なし,-583.0,あり,なし,携帯電話,18,11月,64.0,1,-1,0,失敗,あり
29.0,京都,音楽,技術者,既婚,大学または大学院卒,なし,1269.0,なし,なし,携帯電話,25,5月,49.0,1,-1,0,不明,なし
48.0,京都,写真,サービス業,既婚,大学または大学院卒,なし,85.0,なし,なし,携帯電話,2,2月,72.0,3,-1,0,不明,なし
57.0,宮城,スポーツ,労務職,既婚,小卒または中卒,なし,1239.0,あり,なし,携帯電話,7,5月,103.0,1,-1,0,不明,なし
55.0,埼玉,料理,マネージャー,既婚,大学または大学院卒,なし,3178.0,あり,なし,携帯電話,5,3月,104.0,1,-1,0,不明,なし
26.0,兵庫,読書,労務職,独身,高卒,なし,246.0,なし,なし,携帯電話,19,11月,25.0,3,-1,0,不明,なし
44.0,宮城,音楽,サービス業,独身,大学または大学院卒,なし,534.0,あり,なし,携帯電話,28,7月,96.0,13,-1,0,不明,なし
25.0,宮城,ギャンブル,サービス業,独身,小卒または中卒,なし,529.0,あり,あり,不明,19,5月,12.0,2,-1,0,不明,なし
31.0,愛知,写真,管理者,既婚,高卒,なし,1300.0,あり,なし,不明,20,5月,118.0,1,-1,0,不明,なし
29.0,北海道,読書,労務職,独身,高卒,なし,828.0,あり,なし,携帯電話,15,5月,69.0,1,-1,0,不明,なし
51.0,東京,ボランティア,労務職,独身,小卒または中卒,なし,4006.0,あり,なし,不明,23,5月,78.0,4,-1,0,失敗,なし
29.0,北海道,ギャンブル,マネージャー,既婚,大学または大学院卒,なし,2320.0,なし,あり,携帯電話,15,5月,27.0,2,-1,0,不明,なし
32.0,北海道,ギャンブル,労務職,既婚,高卒,なし,1080.0,なし,なし,携帯電話,15,5月,80.0,4,-1,0,不明,なし
32.0,京都,投資,マネージャー,独身,小卒または中卒,なし,-432.0,なし,なし,携帯電話,2,3月,108.0,5,605,0,不明,あり
22.0,京都,料理,労務職,既婚,高卒,なし,813.0,なし,なし,携帯電話,23,9月,101.0,2,-1,0,不明,あり
81.0,京都,読書,退職,既婚,大学または大学院卒,なし,874.0,なし,なし,携帯電話,17,2月,73.0,1,-1,0,その他,あり
63.0,宮城,ボランティア,管理者,独身,大学または大学院卒,なし,464.0,あり,なし,携帯電話,18,4月,65.0,1,-1,0,不明,なし
65.0,埼玉,ボランティア,退職,独身,大学または大学院卒,なし,3175.0,あり,なし,携帯電話,15,3月,19.0,7,63,0,不明,あり
26.0,京都,写真,技術者,独身,高卒,なし,1987.0,なし,なし,不明,3,6月,125.0,3,-1,0,不明,あり
34.0,京都,ボランティア,労務職,既婚,高卒,なし,2515.0,あり,なし,携帯電話,11,2月,105.0,2,121,0,不明,あり
22.0,大阪,ボランティア,サービス業,独身,小卒または中卒,なし,95.0,あり,なし,不明,28,5月,42.0,1,-1,0,不明,あり
45.0,愛知,ギャンブル,サービス業,独身,高卒,なし,1205.0,なし,あり,不明,29,5月,112.0,15,20,0,失敗,なし
37.0,大阪,スポーツ,マネージャー,独身,大学または大学院卒,なし,384.0,なし,なし,携帯電話,3,2月,40.0,2,-1,1,不明,あり
30.0,兵庫,写真,マネージャー,独身,小卒または中卒,なし,1248.0,あり,なし,携帯電話,16,11月,37.0,1,-1,0,不明,なし
52.0,京都,ギャンブル,技術者,独身,高卒,なし,-98.0,あり,なし,携帯電話,13,4月,74.0,1,-1,0,不明,あり
