年齢,地域,趣味,職業,結婚,最終学歴,債務不履行,残高,住宅ローン,個人ローン,連絡手段,最近の連絡日（日）,最近の連絡日（月）,通話時間（秒）,キャンペーン連絡回数,前回のキャンペーン連絡からの経過日数,キャンペーン前の連絡回数,前回キャンペーンの成果,新キャンペーンの成果
33,大阪,ボランティア,マネージャー,既婚,大学または大学院卒,なし,1412,あり,なし,不明,19,8月,480,1,-1,0,不明,あり
37,兵庫,投資,マネージャー,既婚,大学または大学院卒,なし,0,なし,なし,携帯電話,16,7月,268,2,182,3,成功,あり
25,大阪,ボランティア,マネージャー,独身,大学または大学院卒,なし,528,なし,なし,携帯電話,14,8月,201,1,-1,0,不明,あり
27,東京,ボランティア,学生,独身,大学または大学院卒,なし,3733,あり,なし,携帯電話,22,5月,198,1,98,6,成功,あり
32,愛知,音楽,マネージャー,独身,大学または大学院卒,なし,414,なし,なし,不明,29,9月,21,1,680,5,失敗,なし
53,宮城,スポーツ,起業家,既婚,高卒,あり,-118,あり,なし,不明,9,5月,101,3,-1,0,不明,なし
28,愛知,写真,技術者,既婚,高卒,なし,448,あり,なし,携帯電話,11,5月,188,2,346,3,その他,なし
33,京都,写真,マネージャー,既婚,大学または大学院卒,なし,1047,なし,なし,携帯電話,8,8月,512,4,-1,0,不明,あり
42,京都,ギャンブル,管理者,離婚または死別,高卒,あり,-67,なし,なし,携帯電話,21,11月,137,2,-1,0,不明,なし
27,大阪,ボランティア,技術者,独身,高卒,なし,439,あり,なし,携帯電話,15,4月,1038,2,-1,0,不明,あり
32,愛知,投資,管理者,既婚,高卒,なし,198,なし,なし,携帯電話,16,7月,132,2,-1,0,不明,なし
58,北海道,投資,退職,独身,高卒,なし,-158,あり,なし,携帯電話,5,2月,55,1,8,1,その他,なし
55,愛知,投資,マネージャー,既婚,大学または大学院卒,なし,36,なし,あり,携帯電話,22,7月,46,3,-1,0,不明,なし
30,東京,読書,マネージャー,独身,大学または大学院卒,なし,6493,なし,なし,携帯電話,11,8月,132,5,-1,0,不明,なし
59,大阪,ギャンブル,退職,既婚,高卒,なし,1521,あり,あり,不明,14,5月,1125,2,-1,0,不明,あり
30,東京,投資,技術者,独身,高卒,なし,3286,あり,なし,携帯電話,9,4月,743,1,-1,0,不明,あり
45,京都,投資,労務職,既婚,高卒,なし,96,あり,なし,携帯電話,13,4月,348,3,256,2,失敗,あり
47,京都,ボランティア,労務職,既婚,高卒,なし,1730,あり,なし,携帯電話,30,4月,231,1,-1,0,不明,あり
30,京都,料理,管理者,独身,高卒,なし,69,あり,なし,携帯電話,17,4月,997,1,-1,0,不明,あり
35,東京,ボランティア,マネージャー,既婚,大学または大学院卒,なし,2161,なし,なし,携帯電話,9,9月,569,3,-1,0,不明,あり
39,東京,ボランティア,学生,独身,大学または大学院卒,なし,2103,なし,なし,携帯電話,2,2月,588,1,-1,0,不明,あり
25,東京,写真,技術者,独身,高卒,なし,4718,なし,なし,携帯電話,24,7月,709,1,-1,0,不明,あり
48,東京,ボランティア,マネージャー,既婚,大学または大学院卒,なし,4803,なし,なし,固定電話,4,2月,413,6,-1,0,不明,なし
44,埼玉,ギャンブル,マネージャー,既婚,小卒または中卒,あり,5418,あり,あり,携帯電話,29,1月,188,1,185,5,失敗,なし
42,埼玉,ボランティア,労務職,既婚,高卒,なし,2913,なし,なし,携帯電話,3,6月,705,1,195,1,失敗,あり
37,大阪,ゲーム,起業家,既婚,大学または大学院卒,なし,0,あり,あり,携帯電話,24,7月,226,6,-1,0,不明,なし
32,京都,スポーツ,技術者,独身,高卒,なし,116,あり,なし,携帯電話,20,8月,718,2,-1,0,不明,あり
22,東京,ボランティア,学生,独身,小卒または中卒,なし,3472,なし,なし,携帯電話,20,10月,332,1,183,3,失敗,あり
34,東京,読書,マネージャー,独身,大学または大学院卒,なし,4687,なし,なし,携帯電話,26,8月,10,19,-1,0,不明,なし
46,兵庫,投資,労務職,既婚,小卒または中卒,なし,-339,あり,あり,携帯電話,11,5月,182,2,-1,0,不明,なし
28,東京,ボランティア,自営業,独身,大学または大学院卒,なし,2503,なし,なし,携帯電話,25,5月,426,1,-1,0,不明,あり
31,北海道,写真,技術者,既婚,高卒,なし,134,なし,あり,不明,4,7月,468,6,-1,0,不明,なし
35,兵庫,読書,技術者,独身,高卒,なし,183,なし,なし,携帯電話,23,10月,281,1,52,4,失敗,あり
30,東京,ボランティア,技術者,独身,大学または大学院卒,なし,2427,なし,なし,携帯電話,8,8月,261,2,-1,0,不明,なし
53,愛知,ボランティア,マネージャー,既婚,大学または大学院卒,なし,1313,なし,なし,携帯電話,4,8月,136,2,-1,0,不明,なし
27,東京,ボランティア,労務職,既婚,高卒,なし,4333,なし,なし,携帯電話,20,4月,163,1,-1,0,不明,あり
31,東京,ボランティア,技術者,独身,大学または大学院卒,なし,2744,あり,なし,携帯電話,8,8月,309,2,-1,0,不明,なし
