ìäï[é“,à√çÜâªÇ≥ÇÍÇΩìäï[åãâ 
1,12368309089373611316583223311691789176391602877172094406710382630230972772612198009523637326834668773435776537464275617417136843358034934938546102357807864372898625920526991057135626678317619612912587013335278308254777259903872654577416540913906287207236974485157534694191569418389184185062108833623155845712876300100347759629056650522977538868256465332508549153675717683100917047758465514123543725516511741684424220453981189075378747166037100832274110284658695060477353046683347411643659305129225989917449317590110865198156934041950204928880609114774028470041543438098762020035239873480819371011396016124177513363782705761197176531558852179815413077751395652044959446756554265202317435367257214134055364453126610619441589417028626588234153468726099427161954465640184233393278807288832671182021949316266708644541072244534397655552267431624082825314641506888304619248877889358678266351155171902838042829076739435805922043031501503787771287892478975808843451235630654886356038365263654796430891567107154494560313371886754327661360766454425839438866813917159322172040135285999564611183507650048274363042306835213370116800668631097775123974221140804381823911958482550410270825962623083956594861217716412095660833851209036946742551843978
2,110853823261401200024086865524048613490641096991522942983390159641918049988923742826060739075840542830592166434923395088121831992221774581387901597592502949730037780797863586875068909453427062021305996677417873310693310018798057988520760139511695900182186694351128906044205798949216031898045014549034789755943911206606255292711713919330437094302600420900595448436592499663146792634770191759587413179503049812929325071738048039699043778656266914232788469943478493929784198642667516221771918746861118710739147436834104843083635067149988608985174574378590649834379621520334754004752633800330810115693822102517655937955096991560173839178874516479014221916928401417292565727445047328349177180180990141873269333667047649389677604552102475028822631062974357814684653169444172716274637546010012307436563914223563755067119749203084652627342897814368121052822632334288432270549462454948865857137879773535719507334977596076409577147445240125007923171968469347518329352796629004654992032140052744365899323615249062064402060163191313512694016972907467520474271216881123069541740549133632597516478946081762278859587593133254605758544088378337129229766556807504198721155452197445345145810844544804441088177652084426155359218710175563150023494545192
3,185629678620329702909761772745717246973923924547415871156483084313747985432465359855969252357877291702686927039022655309731292279732980037344039838549679166752610718673837609442960772563365695042900886380685133996096505852975367370858793885251403806075319187533543965310806724414114287379856335749411708735047649604990746889954361223494168044154907533526490445469510852301987368297610286861307142011831034547594187352896476521104679723043985497683764057636363134699954836451135567265933026838247201618092103813048710577066634357723396235558239826339036036003832570838247352187635093589614445286849231922396290591487040175549611315570629165489608977490348756246362612409230759539440310295454582470035953182475254371894637501193115618543721349747189505408107608997763329282913463832750970172278335038438523082598062301546320912092739116072677712540829472555670043770336167636137923668493711844493201778033177299221317881574225814186541995259497363263909484348892981874088849373920026756180970519606174316659676568737557406457271140646471144738184228356190781170484275960580374002343023395208568429339897807050649364219149917730476209781353752905666749498816242049905912231887771782013967351370529749622566462574556375323178412762545829
4,153062082487281653616998653220792396070358598748975669095285442586051259007631675362638906998037914937427655804132040530196827574476065151651647097748366698422308960164621997804393282134222504338790531720328576626458058362861244211543606062414654049238469680536497945754350840203302907650700710243154801069287180164975653375284207049425918320523554281138868855189463033622608792315512879321585713639784419298343665679513059162419352521599030303318864765136802449106240580282617077226062749090539375203603769168613920592749410799685099348752396021759059003760944102380627725314020554754386836580324158949673735693342559528559855754896880430930710022120722124742193148943634055358885762624223602040163062516323026545505158234253653954026927527983470339211817779654043266775389904417527807738531558563227552954131733489151263745563283293596075100956495673687421283300980400160026372400975874187813505420023580482805884292066573448478916433120475772021614734370058325685987384376079126696437150728702034523909962951524435014126903863903307629815498173583571944207868780424544263937930038537703524198447693802096440158522829620229616123002933540746367789885671810786973830993231029288862457676210619718643080572464345239716263427260214010
5,141429880438569300701867924169360178189655792700653582474485593755233169907498808045635875861939560810732270619551623866330593619118125556821116564184471670027840626266731364079312132560290233108544385958895496402526381893313668123946844673493489376941872226200684749652433239512854416359870510643852094052977771450108534407477419016531075235322730895774868548087736043157282018632508824389096438932609645056077468687052755104787163162568369508963901204163221905493603565184971787033718802633078242935503799111370281681873538965428623092713453854252572429805224716831735540538773310666103906950178835033357665947795526257166788767761938669532874010030156829640262536885071541750549006670942325448590470710849396689276839258158432539962237751324086558879904919817330202860376788474447916318995249629754018808367394294262519000801167660284972655059465730885237971130069898470391513541435772714011204790284026717640354436353471254898581783023397362449311275909325091751720863624054446246533329324979279513171480579208474530721415203467213637657777537092547302032483253588157578967286528101363664198443401312729986637082213598321917856142233393332162135079123570924986949738160497772316234128630448259750645074448899948132765864685364385
6,199617399576264486772838190352479466039861075494292079013715515226017912485020653243815183889701751105965531590835191572868190185745637543757722161625458150455111692500635152232525700956402079077782713805081667775501747257475657418537248654931258325490807647632685360720694477870444032571438871962236975343782734109638299571214719926351601232814255549970234355295236297586102891811159201290103379220259968189535594252972771997733700232115183091664090038541253888329046515458422727104287328534345043199043448553161887536925881666647819035149002597532821067323774242339154714871313810246670028639484915995121409054275975920129406545741872951364845448863112599068258425832182509770088343783618970107798230336463667812246561366666349925322604252618251019114051908829324140223567607431537876062947926160988311699166592998117670681235333086823759186635564047262519806596895027183146013815364162977900080429185013749721786777158516823203421743995745827517188435040708947197612036753777920552981012508019180406090142658188999444948681212490157807294021495699097728867606589771069279334307142959219724354384442888441654201586870534962272722123528974153690313904835171539861380338176020727790193381225945275366332096217724395676894544243263851
7,195451201510193352532800210131312706407758408005930058749738914129594991998284766920812723119254551919838047584552624036298539922925618193552439963500021439936715766142364402212451575102642061435452102542496072800717132840079319302776546248845603410171944700579350777112825538968847065176548893310793273597210503369619245639367093514582407074143464646828779108936144674797430831880933852742046633556979881222618306858216323090413570248359063795130385993573223433935821310278580874821444254062505033979140007477945408957669177775913323570623093720472582231758288164763415973435064951708443113455365525016310278614881197084899974504225259359700511574752177436292445250850329499053051181488537364134066117223978664986566020079007080496554058146722935606181745046381103011176673935590969652585059112085097726264729159595936359207486324193233751231132017069381987227888774000047723603523567789492460371648839271726974954506435579247767624322655690472721793010206758365843116848285204048042069335668230885618117165141036230490623799545377399971739698075734878426804069071631493592235576646099166709303858615075304435076229490760482609761816735815485525029964786181350850557932452131043280545438773713990832234578824023433736563260056874822
8,136177679350078484470073456174162349832332377647406276695258177281775355713910841066743895260133459274378378834623120307918108535510164584337353108641146370515944716475922632100962215075237058199002877137999193148974030978150967465887204217814004140650314277924509127291262529120126140489529980511023150887694595620847506368812228815954376292697100565298447603991776744339749718973807078099513533903038605239591904050935836315012541085074002122869743715129362902923853031049638794713352707773693201411291792732281651923431445654336609921564124989611346225426164052659649995073067065606885612670515647534687361324328666998112835291474443883983743960904991933861863681899841780396334283757799303762126244292581580674129764743309816128819363053968552224376481628935965831167024056140289980692910195902915246494916511662162363901412298031956785936808884931312674115327156252530348034004408724905144183306466888467299543976339688209559844667305222832346832701856938188378965242107472150922470362525983592679873652431015212787163197255137776704987142869956337958382640166515538159838741268455549040156566399761068739666543150891639670910819466124557494057697734908742648824310734435985366310575249509823511923607606057757791723980096966387
9,173105311525037379241903663552567241238465607467365878001198633128315210291527522586624522595302622785811763257321095250711549902182827749266930607574796324845299675080343283843969160559206055536611745729378304976285860059689993737127633829120728304523747418876018603427533309140717035113638152105121848192780927049893955038879893332421055843562631346050738505492460901027694560360678206209259453384767445721529974301456108532278569946188107828077292572640075203759533007137521350317041346869060915555292573564355256232763680191682323853724691804368211117608051715225059854084615686299172384493454162564267720175004913185030697024229614130711807314458227438056856256800554334437891322558190381448713063591624542128001536515758529816712223775327730750243978338719281972315944752844727166366862808598982832516943665562893098710341321449373060959837751946270560246559472208557412377766551238366037595675658912101545657851737820957094912827812873989056416040811637533937766597462174882772442855776561686927676800185932272243736294135162166907803721243046692944993818293296937311506332195941890221644613632542267920436813187276453147029616171432031135394383030476757440040874562126752740597337185530936660028709162671402576084994537267274
10,57935046504724828215264734339922110011413550169375864202818581886393543224064864947086799488000132136751069125489323949103166841402342582118237239416532728063652010142096175023586947738197901730725296985102474287917041093359627323994257559990389912217398878472959440848607029263625398594359790643095036927164304191696175174630103727997733829716668772021759259052405344269190632866061692731291917177749766337005619427211053001383958240185402919966330033230305759817139205885482032556003222195283677672854315321006472598870567722152768894640769728979345851134941137832546731142994298531211270396531672963474660646494447092698001429413116880136404989799088476672872058778721319569915356846644407708768709870901115733992962235985115701881693962917498828403822198927552835309585655355586183543001526455999596193818361778312630347909979397690249807973535636203535379935481005673658414958132775722549795045664333135832735749784603840145018789728650153964899068237649856098159418390247015401707988009093583182345430993844485089624982436907742232738953980142281132645363424972600650330283033175776776235118014915415478204405997248721204585197401925160553298796932238089022349018883961305957620442328358312510333591697150039964049257343017588
